month,division,line,day_type,num_sched_trains,num_actual_trains,service_delivered
2024-09-01T00:00:00.000,B DIVISION,G,1,940,901,0.95851064
2024-09-01T00:00:00.000,B DIVISION,G,2,1700,1681,0.98882353
2024-09-01T00:00:00.000,B DIVISION,H,1,420,427,1.0166667
2024-09-01T00:00:00.000,B DIVISION,H,2,548,543,0.9908759
2024-09-01T00:00:00.000,B DIVISION,JZ,1,1061,1027,0.96795475
2024-09-01T00:00:00.000,B DIVISION,JZ,2,1106,1013,0.9159132
2024-09-01T00:00:00.000,B DIVISION,L,1,1919,1867,0.97290254
2024-09-01T00:00:00.000,B DIVISION,L,2,1586,1540,0.9709962
2024-09-01T00:00:00.000,B DIVISION,M,1,1820,1675,0.9203297
2024-09-01T00:00:00.000,B DIVISION,M,2,578,569,0.98442906
2024-09-01T00:00:00.000,B DIVISION,N,1,1820,1724,0.94725275
2024-09-01T00:00:00.000,B DIVISION,N,2,1441,1401,0.9722415
2024-09-01T00:00:00.000,B DIVISION,Q,1,2060,1966,0.95436895
2024-09-01T00:00:00.000,B DIVISION,Q,2,1778,1733,0.9746907
2024-09-01T00:00:00.000,B DIVISION,R,1,2060,1850,0.89805824
2024-09-01T00:00:00.000,B DIVISION,R,2,1440,1367,0.94930553
2024-09-01T00:00:00.000,B DIVISION,W,1,780,725,0.92948717
2024-10-01T00:00:00.000,A DIVISION,1,1,1932,1872,0.9689441
2024-10-01T00:00:00.000,A DIVISION,1,2,1248,1201,0.96233976
2024-10-01T00:00:00.000,A DIVISION,2,1,2552,2458,0.9631661
2024-10-01T00:00:00.000,A DIVISION,2,2,1705,1646,0.96539587
2024-10-01T00:00:00.000,A DIVISION,3,1,2369,2293,0.96791893
2024-10-01T00:00:00.000,A DIVISION,3,2,1536,1506,0.98046875
2024-10-01T00:00:00.000,A DIVISION,4,1,3173,3010,0.9486291
2024-10-01T00:00:00.000,A DIVISION,4,2,1903,1881,0.9884393
2024-10-01T00:00:00.000,A DIVISION,5,1,2967,2773,0.93461406
2024-10-01T00:00:00.000,A DIVISION,5,2,864,868,1.0046296
2024-10-01T00:00:00.000,A DIVISION,6,1,2369,2241,0.94596875
2024-10-01T00:00:00.000,A DIVISION,6,2,1026,1001,0.9756335
2024-10-01T00:00:00.000,A DIVISION,7,1,3082,2881,0.9347826
2024-10-01T00:00:00.000,A DIVISION,7,2,960,949,0.98854166
2024-10-01T00:00:00.000,A DIVISION,GS,1,2323,2320,0.99870855
2024-10-01T00:00:00.000,A DIVISION,GS,2,1464,1432,0.9781421
2024-10-01T00:00:00.000,B DIVISION,A,1,2945,2852,0.96842104
2024-10-01T00:00:00.000,B DIVISION,A,2,1403,1349,0.9615111
2024-10-01T00:00:00.000,B DIVISION,B,1,1926,1750,0.9086189
2024-10-01T00:00:00.000,B DIVISION,C,1,1748,1664,0.95194507
2024-10-01T00:00:00.000,B DIVISION,C,2,1120,1038,0.9267857
2024-10-01T00:00:00.000,B DIVISION,D,1,2185,2051,0.9386728
2024-10-01T00:00:00.000,B DIVISION,D,2,1279,1237,0.96716183
2024-10-01T00:00:00.000,B DIVISION,E,1,1794,1700,0.9476031
2024-10-01T00:00:00.000,B DIVISION,E,2,640,636,0.99375
2024-10-01T00:00:00.000,B DIVISION,F,1,3335,3191,0.95682156
