month,division,line,period,num_passengers,additional_platform_time,additional_train_time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer_journey_time
2024-01-01T00:00:00.000,B DIVISION,N,offpeak,2614879.0,1.6676645,0.91992176,4360741.0,2405484.2,558180.7,0.21346329,0.7865367
2024-01-01T00:00:00.000,B DIVISION,N,peak,2679017.2,1.5230294,0.70341223,4080222.0,1884453.5,491665.8,0.18352468,0.81647533
2024-01-01T00:00:00.000,B DIVISION,Q,offpeak,3274836.2,1.5432885,0.6846408,5054017.0,2242086.8,704038.5,0.21498433,0.78501564
2024-01-01T00:00:00.000,B DIVISION,Q,peak,3219529.2,1.6545821,0.9274291,5326975.5,2985885.0,724289.4,0.22496748,0.7750325
2024-01-01T00:00:00.000,B DIVISION,R,offpeak,3755709.0,1.8473359,0.23839206,6938056.0,895331.1,834986.0,0.22232448,0.7776755
2024-01-01T00:00:00.000,B DIVISION,R,peak,4316386.0,1.4789358,0.103731334,6383657.5,447744.47,735365.3,0.17036597,0.829634
2024-01-01T00:00:00.000,B DIVISION,S Fkln,offpeak,187334.4,0.4773645,0.021663457,89426.8,4058.3108,5685.4,0.030348938,0.96965104
2024-01-01T00:00:00.000,B DIVISION,S Fkln,peak,184188.4,0.45723486,0.0047921315,84217.36,882.6551,5360.7,0.029104438,0.9708956
2024-01-01T00:00:00.000,B DIVISION,S Rock,offpeak,26030.4,0.68915594,-0.889155,17939.006,-23145.06,2137.8,0.08212705,0.91787297
2024-01-01T00:00:00.000,B DIVISION,S Rock,peak,17762.8,0.58197397,-1.2152113,10337.487,-21585.555,1527.6,0.08599996,0.91400003
2024-01-01T00:00:00.000,B DIVISION,W,offpeak,1477979.8,1.0090553,0.36781713,1491363.1,543626.25,195955.0,0.132583,0.867417
2024-01-01T00:00:00.000,B DIVISION,W,peak,1421361.2,0.99969053,0.2275001,1420921.4,323359.84,138601.2,0.097513,0.902487
2024-02-01T00:00:00.000,A DIVISION,1,offpeak,3867551.0,1.0853374,0.68345267,4197598.0,2643288.2,484512.9,0.1252764,0.8747236
2024-02-01T00:00:00.000,A DIVISION,1,peak,4363445.5,1.4432973,0.5950863,6297749.0,2596626.5,463635.2,0.106254384,0.8937456
2024-02-01T00:00:00.000,A DIVISION,2,offpeak,2336734.5,1.5226524,0.61349446,3558034.5,1433573.8,416612.5,0.17828834,0.82171166
2024-02-01T00:00:00.000,A DIVISION,2,peak,2815864.8,1.202949,0.29503614,3387341.5,830781.8,361184.5,0.1282677,0.8717323
2024-02-01T00:00:00.000,A DIVISION,3,offpeak,1726217.0,0.923262,0.26484317,1593750.5,457176.78,208555.9,0.12081674,0.8791833
2024-02-01T00:00:00.000,A DIVISION,3,peak,2145013.0,0.91016,0.22499792,1952305.1,482623.5,212584.9,0.09910657,0.90089345
2024-02-01T00:00:00.000,A DIVISION,4,offpeak,3079778.5,0.97593576,0.39795426,3005666.0,1225611.0,425179.5,0.13805522,0.8619448
2024-02-01T00:00:00.000,A DIVISION,4,peak,3286224.5,0.94165415,0.41899285,3094486.8,1376904.5,373671.8,0.11370855,0.88629144
2024-02-01T00:00:00.000,A DIVISION,5,offpeak,2144262.0,1.3334861,0.637401,2859343.5,1366754.8,311737.6,0.14538224,0.8546178
2024-02-01T00:00:00.000,A DIVISION,5,peak,2915816.5,1.0082685,0.20459516,2939926.0,596562.0,325533.6,0.11164406,0.8883559
2024-02-01T00:00:00.000,A DIVISION,6,offpeak,4195042.5,1.177265,0.6647507,4938677.5,2788657.8,566919.7,0.13514039,0.86485964
2024-02-01T00:00:00.000,A DIVISION,6,peak,4748238.5,1.2934672,0.8307109,6141691.0,3944413.8,663550.5,0.13974667,0.86025333
2024-02-01T00:00:00.000,A DIVISION,7,offpeak,2979932.8,0.8864109,0.42178413,2641444.8,1256888.2,328874.5,0.110363066,0.88963693
2024-02-01T00:00:00.000,A DIVISION,7,peak,3446606.8,0.7180291,0.3202063,2474764.0,1103625.2,216991.5,0.06295801,0.937042
2024-02-01T00:00:00.000,A DIVISION,S 42nd,offpeak,300478.2,0.94218934,-0.09234064,283107.34,-27746.348,8676.1,0.028874308,0.97112566
2024-02-01T00:00:00.000,A DIVISION,S 42nd,peak,394289.0,0.44164392,-0.108576596,174135.34,-42810.56,1976.5,0.0050128205,0.9949872
2024-02-01T00:00:00.000,B DIVISION,A,offpeak,2916439.5,1.3361737,0.76911104,3896869.5,2243065.8,623081.0,0.21364442,0.78635556
2024-02-01T00:00:00.000,B DIVISION,A,peak,3725892.5,1.2322639,0.6355996,4591283.0,2368176.0,594039.4,0.15943547,0.84056455
2024-02-01T00:00:00.000,B DIVISION,B,offpeak,1434153.6,1.9743688,1.0961117,2831548.2,1571992.4,343219.5,0.2393185,0.7606815
2024-02-01T00:00:00.000,B DIVISION,B,peak,2295896.2,1.669371,0.98262095,3832702.5,2255995.8,526891.3,0.22949265,0.77050734
2024-02-01T00:00:00.000,B DIVISION,C,offpeak,2029466.1,1.5433875,0.4957389,3132252.8,1006085.3,345434.9,0.17020974,0.82979023
2024-02-01T00:00:00.000,B DIVISION,C,peak,1812082.4,1.8134493,0.3772543,3286119.5,683615.9,308686.0,0.17034876,0.82965124
2024-02-01T00:00:00.000,B DIVISION,D,offpeak,2388453.2,1.8937973,0.8870564,4523246.0,2118692.8,624139.0,0.26131514,0.73868483
2024-02-01T00:00:00.000,B DIVISION,D,peak,2378968.5,1.5341706,0.8273832,3649743.2,1968318.5,515375.3,0.21663815,0.78336185
2024-02-01T00:00:00.000,B DIVISION,E,offpeak,2597457.5,1.2613977,1.128922,3276426.8,2932326.8,537819.3,0.20705606,0.79294395
2024-02-01T00:00:00.000,B DIVISION,E,peak,2993361.2,1.5078723,0.30703676,4513606.5,919071.94,456572.3,0.1525283,0.8474717
2024-02-01T00:00:00.000,B DIVISION,F,offpeak,3413610.2,2.1430957,0.8611252,7315693.5,2939545.8,934204.1,0.2736704,0.7263296
2024-02-01T00:00:00.000,B DIVISION,F,peak,4058810.5,2.1625085,0.4979738,8777212.0,2021181.4,838005.3,0.20646574,0.7935343
2024-02-01T00:00:00.000,B DIVISION,G,offpeak,1089410.8,1.1863219,0.957557,1292391.8,1043172.9,201839.4,0.18527393,0.81472605
